Field=#~Integer~#~50|Field=Designator~String~Designator~225|Field=PartNumber~String~PartNumber~187|Field=Manufacturer~String~Manufacturer~187|Field=Quantity~Integer~Quantity~187|Field=ValueManufacturerPartNumber~String~ValueManufacturerPartNumber~103|Field=HelpURL~String~HelpURL~133|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MPPT_controller.PrjPcb|ReportField=ProjectFullPath~D:\Work\HEVEL\MPPT_controller\HARDWARE (Altium)\MPPT_controller.PrjPcb|ReportField=Title~Bill of Materials For Project [MPPT_controller.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~242|ReportField=ReportTime~22:47:29|ReportField=ReportDate~09.03.2020|ReportField=ReportDateTime~09.03.2020 22:47:29|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~Грефенштейн|ReportField=CompanyName~|ReportField=CurrentDate~09.03.2020|ReportField=CurrentTime~22:42:17|ReportField=CustomerNumber~|ReportField=Date~|ReportField=DecimalNumber~{DecimalNumber}|ReportField=DocumentFullPathAndName~D:\Work\HEVEL\MPPT_controller\HARDWARE (Altium)\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DocumentStatus~Released|ReportField=DocumentType~Схема электрическая принципиальная|ReportField=DrawnBy~Тихонов|ReportField=Engineer~|ReportField=FirstApp~|ReportField=ImagePath~|ReportField=Language~en|ReportField=Liter~|ReportField=ModifiedDate~09.03.2020|ReportField=NormControl~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.96:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=A3:PrintScaleMode=1|ReportField=ProjectName~MPPT_controller.PrjPcb|ReportField=ResponsibleDept~DED|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=TechControl~|ReportField=Time~|ReportField=Title~|ReportField=Title0~Плата заряда аккумулятора|ReportField=Title1~|ReportField=ConfigurationParameters~|ReportField=EngineerName~|ReportField=FirstReferrence~|ReportField=Letter1Column~|ReportField=Letter2Column~|ReportField=Letter3Column~|ReportField=Mass~|ReportField=NormInspection~|ReportField=ProcessInspection~|ReportField=Title2str~|ReportField=DataSourceFileName~MPPT_controller.PrjPcb|ReportField=DataSourceFullPath~D:\Work\HEVEL\MPPT_controller\HARDWARE (Altium)\MPPT_controller.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
16|C31, C67, C72|0805YC475KAT2A|AVX|3|CAP CER, 4.7mk, X7R, ±10%, 16V, 0805|https://www.digikey.com/product-detail/en/avx-corporation/0805YC475KAT2A/478-5722-1-ND/2136330
17|C36|0603YC683KAT2A|AVX|1|CAP CER, 0.068mk, X7R, ±10%, 16V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/0603YC683KAT2A/478-1237-1-ND/564269
18|C37|06033A221JAT2A|AVX|1|CAP CER, 220p, X7R, ±5%, 25V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/06033A221JAT2A/478-12678-2-ND/1599160
19|C39|06035C682KAT2A|AVX|1|CAP CER, 6.8n, X7R, ±10%, 50V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/06035C682KAT2A/478-1225-1-ND/564257
20|C41|08051C104JAT2A|AVX|1|CAP CER, 0.1mk, X7R, ±10%, 100V, 0805|https://www.digikey.com/product-detail/en/avx-corporation/08051C104JAT2A/478-5780-1-ND/2136372
21|C45|C3216X5R1E476M160AC|TDK|1|CAP CER, 47mk, X5R, ±10%, 25V, 1206|https://www.digikey.com/product-detail/en/tdk-corporation/C3216X5R1E476M160AC/445-8047-1-ND/2792164
22|C47|0603ZD106MAT2A|AVX|1|CAP CER, 10mk, X5R, ±10%, 10V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/0603ZD106MAT2A/478-8050-1-ND/3900666
23|C49, C51, C52, C53, C54, C57, C60, C63, C64, C65, C66, C68, C69, C70, C71|0603YC104KAT2A|AVX|15|CAP CER, 0.1mk, X7R, ±10%, 16V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/0603YC104KAT2A/478-1239-1-ND/564271
24|C61, C62|06035A160JAT2A|AVX|2|CAP CER, 16p, NP0, ±5%, 50V, 0603|https://www.digikey.com/product-detail/en/avx-corporation/06035A160JAT2A/478-10292-1-ND/6797449
25|DA1|LT8491EUKJ#PBF|Linear Technology|1||https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LT8491EUKJ-PBF/161-LT8491EUKJ-PBF-ND/11586954
26|DA2|LTC4359CDCB|Linear Technology/Analog Devices|1|IC, Ideal Diode Controller, 6-DFN (2x3)|https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LTC4359CDCB-TRMPBF/LTC4359CDCB-TRMPBFCT-ND/5223322
27|DA3|LMR16006YDDCR|Texas Instruments|1|DC/DC buck converter, SOT23-6|https://www.digikey.com/product-detail/en/texas-instruments/LMR16006YDDCR/296-40294-1-ND/5178171
28|DA4|MCP111T-195I/LB|Microchip Technology|1|Supervisor,SOT-23|https://www.digikey.com/product-detail/en/microchip-technology/MCP111T-195I-LB/MCP111T-195I-LBCT-ND/9642872
29|DD1|STM32F334C4T6|STMicroelectronics|1|IC microcontroller, 32-Bit, Cortex-M4, 72MHz, 16KB, 12KB, 48-LQFP|https://www.digikey.com/products/en?keywords=STM32F334C4T6
30|DD2|SN65HVD231DR|Texas Instruments|1|IC CAN transceiver, 8-SOIC|https://www.digikey.com/product-detail/en/texas-instruments/SN65HVD231DR/296-26343-1-ND/2254977
31|DD3|24AA01T-I/OT|Microchip Technology|1|EEPROM, 1KB (128x8), 400 kHz, I2C, SOT-23-5|https://www.digikey.com/product-detail/en/microchip-technology/24AA01T-I-OT/24AA01T-I-OTCT-ND/857670
32|DD4|ISO7721DR|Texas Instruments|1|IC digital isolator, 8-SOIC|https://www.digikey.com/product-detail/en/texas-instruments/ISO7721DR/296-48296-1-ND/8347715
33|DD5|CP2102N-A02-GQFN24|Silicon Labs|1|USB Bridge, USB to UART, USB2.0, 24-QFN(4x4)|https://www.digikey.com/product-detail/en/silicon-labs/CP2102N-A02-GQFN24/336-5887-ND/9863476
34|FU1|01110506Z|Littelfuse|1|FUSE CLIP, 250VAC, 10A, 5x20mm|https://www.digikey.com/product-detail/en/littelfuse-inc/01110506Z/F4083-ND/2519783
